,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
C(EdLevel)[T.Primary/elementary school],-0.3159133632001726,0.11469660564728724,-2.7543392536973865,0.005886719130342692,-0.5407290248520756,-0.0910977015482696
"C(EdLevel)[T.Professional degree (JD, MD, Ph.D, Ed.D, etc.)]",0.08736746853356431,0.04720380157022638,1.850856618054064,0.06420582729300617,-0.005156227547990791,0.1798911646151194
"C(EdLevel)[T.Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)]",-0.11902570899134148,0.04940316533394964,-2.4092729319420254,0.015993870490337313,-0.21586035583699498,-0.022191062145687987
C(EdLevel)[T.Some college/university study without earning a degree],-0.07777568069532306,0.04222662226218232,-1.8418636520917768,0.06551080645179481,-0.1605436577389578,0.0049922963483116645
C(Age)[T.25-34 years old],0.47760002647971267,0.025799628319503866,18.511895619777558,7.792548184965689e-76,0.4270304348314735,0.5281696181279518
C(Age)[T.35-44 years old],0.682391129010298,0.028288411189519923,24.12263892936854,1.2006926702719718e-126,0.6269432991223746,0.7378389588982214
C(Age)[T.45-54 years old],0.7402474158959266,0.03189462631163842,23.209157826872193,1.633797348247315e-117,0.6777310800643197,0.8027637517275334
C(Age)[T.55-64 years old],0.6794064931602505,0.0398732608937942,17.03915049661745,1.283240228407562e-64,0.601251316034751,0.7575616702857499
C(Age)[T.65 years or older],0.5326999672734807,0.07594139637505808,7.0146190707712455,2.384003518008239e-12,0.3838480010232318,0.6815519335237296
C(Age)[T.Prefer not to say],0.32196186839604823,0.29591963113349723,1.0880044259409158,0.2766070739269821,-0.25806722046511577,0.9019909572572122
AI_Index,-0.16510865696596078,0.03503949924238717,-4.712072390755784,2.4696166141963557e-06,-0.23378922655799506,-0.09642808737392648
